date,Elon Musk,Joe Biden,Taylor Swift,Godzilla,Black Panther,isPartial
2021-04-25 14:38:00,41,24,35,71,15,False
2021-04-25 14:39:00,50,20,25,74,15,False
2021-04-25 14:40:00,52,25,35,81,15,False
2021-04-25 14:41:00,48,16,39,82,15,False
2021-04-25 14:42:00,46,18,39,75,15,False
2021-04-25 14:43:00,38,22,28,83,18,False
2021-04-25 14:44:00,46,20,29,66,15,False
2021-04-25 14:45:00,54,23,19,80,15,False
2021-04-25 14:46:00,49,20,29,82,20,False
2021-04-25 14:47:00,50,20,30,79,17,False
2021-04-25 14:48:00,52,24,25,77,16,False
2021-04-25 14:49:00,52,18,38,85,14,False
2021-04-25 14:50:00,47,21,34,73,15,False
2021-04-25 14:51:00,49,18,27,78,15,False
2021-04-25 14:52:00,43,20,33,82,16,False
2021-04-25 14:53:00,45,17,31,78,20,False
2021-04-25 14:54:00,47,22,28,79,13,False
2021-04-25 14:55:00,48,18,35,79,16,False
2021-04-25 14:56:00,50,20,31,72,16,False
2021-04-25 14:57:00,53,20,37,79,10,False
2021-04-25 14:58:00,54,17,29,72,14,False
2021-04-25 14:59:00,44,19,30,80,20,False
2021-04-25 15:00:00,47,23,28,79,16,False
2021-04-25 15:01:00,46,22,25,68,18,False
2021-04-25 15:02:00,44,29,30,80,17,False
2021-04-25 15:03:00,51,23,27,76,10,False
2021-04-25 15:04:00,51,20,34,80,15,False
2021-04-25 15:05:00,45,21,32,88,18,False
2021-04-25 15:06:00,47,26,32,90,17,False
2021-04-25 15:07:00,44,27,39,89,16,False
2021-04-25 15:08:00,51,24,32,83,15,False
2021-04-25 15:09:00,48,17,32,91,11,False
2021-04-25 15:10:00,49,26,27,81,16,False
2021-04-25 15:11:00,43,20,30,90,18,False
2021-04-25 15:12:00,50,22,33,86,12,False
2021-04-25 15:13:00,46,23,30,70,17,False
2021-04-25 15:14:00,46,24,31,77,23,False
2021-04-25 15:15:00,38,21,26,88,16,False
2021-04-25 15:16:00,45,23,32,84,17,False
2021-04-25 15:17:00,39,18,35,86,14,False
2021-04-25 15:18:00,49,19,29,78,18,False
2021-04-25 15:19:00,47,25,39,82,10,False
2021-04-25 15:20:00,48,22,32,78,17,False
2021-04-25 15:21:00,53,21,30,88,12,False
2021-04-25 15:22:00,60,18,33,71,9,False
2021-04-25 15:23:00,59,19,33,82,13,False
2021-04-25 15:24:00,42,23,31,80,15,False
2021-04-25 15:25:00,50,22,32,74,18,False
2021-04-25 15:26:00,47,18,33,74,14,False
2021-04-25 15:27:00,49,21,36,83,15,False
2021-04-25 15:28:00,46,25,27,98,14,False
2021-04-25 15:29:00,52,19,35,86,18,False
2021-04-25 15:30:00,54,25,35,85,17,False
2021-04-25 15:31:00,49,21,35,87,17,False
2021-04-25 15:32:00,48,20,35,85,14,False
2021-04-25 15:33:00,56,20,41,88,20,False
2021-04-25 15:34:00,44,27,39,79,13,False
2021-04-25 15:35:00,51,27,46,100,19,False
